Year,State,Site,Site_Prod,Sam_Time,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Nitrate1,Nitrate2,Nitrate3,Ammonium1,Comment
2014,IA,MasonCity,High,PSNT,205,2,1,0,0,0,0,8.5,2.5,.,6.2,.
2014,IA,MasonCity,High,PSNT,208,2,3,80,0,90,0,16,4.5,.,6.6,.
2014,IA,MasonCity,High,PSNT,209,2,4,120,0,135,0,24.5,4.5,.,.,.
2014,IA,MasonCity,High,PSNT,212,2,8,280,0,315,0,57,7,.,.,.
2014,IA,MasonCity,High,PSNT,213,2,2,40,0,45,0,13,4,.,.,.
2014,IA,MasonCity,High,PSNT,215,2,6,200,0,225,0,44.5,6,.,.,.
2014,IA,MasonCity,High,PSNT,301,3,1,0,0,0,0,3,7.5,.,6.5,.
2014,IA,MasonCity,High,PSNT,305,3,6,200,0,225,0,55,9,.,.,.
2014,IA,MasonCity,High,PSNT,307,3,3,80,0,90,0,22,3.5,.,10.1,.
2014,IA,MasonCity,High,PSNT,310,3,5,160,0,180,0,30.5,6.5,.,13.1,.
2014,IA,MasonCity,High,PSNT,311,3,7,240,0,270,0,63.5,9,.,19.5,.
2014,IA,MasonCity,High,PSNT,312,3,4,120,0,135,0,24.5,5.5,.,.,.
2014,IA,MasonCity,High,PSNT,315,3,8,280,0,315,0,53.5,11.5,.,.,.
2014,IA,MasonCity,High,PSNT,316,3,2,40,0,45,0,20.5,6,.,.,.
2014,IA,MasonCity,High,PSNT,401,4,4,120,0,135,0,35.5,5,.,.,.
2014,IA,MasonCity,High,PSNT,405,4,7,240,0,270,0,48,7.5,.,16.8,.
2014,IA,MasonCity,High,PSNT,407,4,5,160,0,180,0,51.5,8.5,.,21.8,.
2014,IA,MasonCity,High,PSNT,410,4,2,40,0,45,0,17,7,.,.,.
2014,IA,MasonCity,High,PSNT,411,4,8,280,0,315,0,56.5,13.5,.,.,.
2014,IA,MasonCity,High,PSNT,412,4,1,0,0,0,0,8.5,3,.,5.5,.
2014,IA,MasonCity,High,PSNT,414,4,3,80,0,90,0,21.5,5.5,.,7.5,.
2014,IA,MasonCity,High,PSNT,415,4,6,200,0,225,0,56,7,.,.,.
2014,IL,Brownstown,Low,Post,101,1,2,40,0,45,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,102,1,3,80,0,90,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,103,1,9,40,40,45,45,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,104,1,14,40,240,45,270,12,9,1,.,.
2014,IL,Brownstown,Low,Post,105,1,16,80,160,90,180,11,21.5,1,.,.
2014,IL,Brownstown,Low,Post,106,1,13,40,200,45,225,1,4,2,.,.
2014,IL,Brownstown,Low,Post,107,1,10,40,80,45,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,108,1,5,160,0,180,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,109,1,1,0,0,0,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,110,1,4,120,0,135,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,111,1,12,40,160,45,180,1,1,0.5,.,.
2014,IL,Brownstown,Low,Post,112,1,11,40,120,45,135,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,113,1,15,80,80,90,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,114,1,6,200,0,225,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,115,1,7,240,0,270,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,116,1,8,280,0,315,0,3,7.5,2,.,.
2014,IL,Brownstown,Low,Post,201,2,5,160,0,180,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,202,2,16,80,160,90,180,8.5,26,3.5,.,.
2014,IL,Brownstown,Low,Post,203,2,7,240,0,270,0,0.5,4.5,1,.,.
2014,IL,Brownstown,Low,Post,204,2,11,40,120,45,135,1.5,3,0.5,.,.
2014,IL,Brownstown,Low,Post,205,2,1,0,0,0,0,1,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,206,2,12,40,160,45,180,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,207,2,9,40,40,45,45,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,208,2,3,80,0,90,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,209,2,4,120,0,135,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,210,2,10,40,80,45,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,211,2,15,80,80,90,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,212,2,8,280,0,315,0,63,17.5,3,.,.
2014,IL,Brownstown,Low,Post,213,2,2,40,0,45,0,0.5,1,0.5,.,.
2014,IL,Brownstown,Low,Post,214,2,13,40,200,45,225,17,6,2.5,.,.
2014,IL,Brownstown,Low,Post,215,2,6,200,0,225,0,0.5,1,1.5,.,.
2014,IL,Brownstown,Low,Post,216,2,14,40,240,45,270,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,301,3,1,0,0,0,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,302,3,9,40,40,45,45,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,303,3,12,40,160,45,180,0.5,1,0.5,.,.
2014,IL,Brownstown,Low,Post,304,3,14,40,240,45,270,1,11,1.5,.,.
2014,IL,Brownstown,Low,Post,305,3,6,200,0,225,0,0.5,3.5,1,.,.
2014,IL,Brownstown,Low,Post,306,3,13,40,200,45,225,1,7.5,2,.,.
2014,IL,Brownstown,Low,Post,307,3,3,80,0,90,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,308,3,16,80,160,90,180,1,2.5,0.5,.,.
2014,IL,Brownstown,Low,Post,309,3,11,40,120,45,135,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,310,3,5,160,0,180,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,311,3,7,240,0,270,0,0.5,1,0.5,.,.
2014,IL,Brownstown,Low,Post,312,3,4,120,0,135,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,313,3,15,80,80,90,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,314,3,10,40,80,45,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,315,3,8,280,0,315,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,316,3,2,40,0,45,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,401,4,4,120,0,135,0,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,402,4,16,80,160,90,180,1.5,6.5,1,.,.
2014,IL,Brownstown,Low,Post,403,4,9,40,40,45,45,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,404,4,15,80,80,90,90,0.5,0.5,0.5,.,.
2014,IL,Brownstown,Low,Post,405,4,7,240,0,270,0,0.5,3.5,1,.,.
